Energy (E),Reflectivity (R),Transmissivity (T)
-2.3539232053422374,1.0,0.0
-2.335559265442404,1.0,0.0
-2.3171953255425715,1.0,0.0
-2.298831385642738,1.0,0.0
-2.2804674457429046,1.0,0.0
-2.262103505843072,1.0,0.0
-2.2437395659432386,1.0,0.0
-2.225375626043406,1.0,0.0
-2.2070116861435727,1.0,0.0
-2.18864774624374,1.0,0.0
-2.1702838063439067,1.0,0.0
-2.1519198664440733,1.0,0.0
-2.1335559265442408,1.0,0.0
-2.1151919866444073,1.0,0.0
-2.096828046744575,1.0,0.0
-2.0784641068447414,1.0,0.0
-2.060100166944908,1.0,0.0
-2.0417362270450754,1.0,0.0
-2.023372287145242,1.0,0.0
-2.0050083472454094,1.0,0.0
-1.986644407345576,1.0,0.0
-1.9682804674457435,1.0,0.0
-1.94991652754591,1.0,0.0
-1.9315525876460766,1.0,0.0
-1.913188647746244,1.0,0.0
-1.8948247078464107,1.0,0.0
-1.8764607679465781,1.0,0.0
-1.8580968280467447,1.0,0.0
-1.8397328881469113,1.0,0.0
-1.8213689482470787,1.0,0.0
-1.8030050083472453,1.0,0.0
-1.7846410684474128,1.0,0.0
-1.7662771285475793,1.0,0.0
-1.7479131886477468,1.0,0.0
-1.7295492487479134,1.0,0.0
-1.71118530884808,1.0,0.0
-1.6928213689482474,1.0,0.0
-1.674457429048414,1.0,0.0
-1.6560934891485815,1.0,0.0
-1.637729549248748,1.0,0.0
-1.6193656093489146,1.0,0.0
-1.601001669449082,1.0,0.0
-1.5826377295492486,1.0,0.0
-1.564273789649416,1.0,0.0
-1.5459098497495827,1.0,0.0
-1.5275459098497501,1.0,0.0
-1.5091819699499167,1.0,0.0
-1.4908180300500833,1.0,0.0
-1.4724540901502507,1.0,0.0
-1.4540901502504173,1.0,0.0
-1.4357262103505848,1.0,0.0
-1.4173622704507514,1.0,0.0
-1.398998330550918,1.0,0.0
-1.3806343906510854,1.0,0.0
-1.362270450751252,1.0,0.0
-1.3439065108514194,1.0,0.0
-1.325542570951586,1.0,0.0
-1.3071786310517535,1.0,0.0
-1.28881469115192,1.0,0.0
-1.2704507512520866,1.0,0.0
-1.252086811352254,1.0,0.0
-1.2337228714524207,1.0,0.0
-1.2153589315525881,1.0,0.0
-1.1969949916527547,1.0,0.0
-1.1786310517529213,1.0,0.0
-1.1602671118530887,1.0,0.0
-1.1419031719532553,1.0,0.0
-1.1235392320534228,1.0,0.0
-1.1051752921535893,1.0,0.0
-1.0868113522537568,1.0,0.0
-1.0684474123539234,1.0,0.0
-1.05008347245409,1.0,0.0
-1.0317195325542574,1.0,0.0
-1.013355592654424,1.0,0.0
-0.9949916527545914,1.0,0.0
-0.976627712854758,1.0,0.0
-0.9582637729549255,1.0,0.0
-0.9398998330550921,1.0,0.0
-0.9215358931552586,1.0,0.0
-0.9031719532554261,1.0,0.0
-0.8848080133555927,1.0,0.0
-0.8664440734557601,1.0,0.0
-0.8480801335559267,1.0,0.0
-0.8297161936560933,0.9999494782132283,5.0521786771673405e-05
-0.8113522537562607,0.9999851507599177,1.4849240082326354e-05
-0.7929883138564273,0.8860597492144168,0.11394025078558323
-0.7746243739565948,0.8702549137609835,0.12974508623901648
-0.7562604340567614,0.8531187197860215,0.1468812802139785
-0.7378964941569288,0.8385747322938106,0.16142526770618937
-0.7195325542570954,0.8252534862838776,0.17474651371612238
-0.701168614357262,0.8130373861722568,0.18696261382774315
-0.6828046744574294,0.8016303695247986,0.1983696304752014
-0.664440734557596,0.7909090683833871,0.20909093161661285
-0.6460767946577635,0.7807746643799149,0.21922533562008506
-0.62771285475793,0.7711427486424551,0.22885725135754487
-0.6093489148580966,0.7619460208545519,0.23805397914544812
-0.5909849749582641,0.7531288526559959,0.24687114734400406
-0.5726210350584306,0.744654281048921,0.25534571895107905
-0.5542570951585981,0.7364849116584914,0.2635150883415086
-0.5358931552587647,0.7285914852267305,0.27140851477326955
-0.5175292153589321,0.7209488705024181,0.27905112949758193
-0.4991652754590987,0.7135362165273359,0.2864637834726641
-0.4808013355592653,0.7063396833092772,0.2936603166907228
-0.46243739565943276,0.6992611428841249,0.3007388571158751
-0.44407345575959933,0.6925045643133823,0.30749543568661775
-0.4257095158597668,0.6858452437319628,0.31415475626803724
-0.40734557595993337,0.6793460944399262,0.3206539055600738
-0.38898163606009994,0.6729950985508275,0.3270049014491725
-0.3706176961602674,0.6667833305137718,0.3332166694862282
-0.352253756260434,0.6607028670053099,0.3392971329946901
-0.33388981636060144,0.654746561782638,0.345253438217362
-0.315525876460768,0.6489079383087917,0.3510920616912083
-0.2971619365609355,0.6431810896098141,0.3568189103901859
-0.27879799666110205,0.6375606222515673,0.3624393777484327
-0.26043405676126863,0.6320415938061855,0.3679584061938145
-0.2420701168614361,0.6266194599443458,0.37338054005565424
-0.22370617696160267,0.6212900370044433,0.3787099629955567
-0.20534223706177013,0.6160494861222174,0.38395051387778256
-0.1869782971619367,0.6108944680387295,0.3891055319612705
-0.16861435726210328,0.6058237987840349,0.3941762012159651
-0.15025041736227074,0.6008005446094834,0.3991994553905166
-0.1318864774624373,0.5959094644348718,0.4040905355651282
-0.11352253756260478,0.5910621044018556,0.4089378955981444
-0.09515859766277135,0.5862871546924405,0.4137128453075595
-0.07679465776293881,0.5815807224688561,0.41841927753114394
-0.058430717863105386,0.5769404126914238,0.4230595873085762
-0.04006677796327196,0.5723641085123311,0.4276358914876689
-0.021702838063439422,0.5678498323717386,0.4321501676282614
-0.0033388981636059967,0.5633957204341978,0.43660427956580217
0.015025041736226541,0.5590000113916989,0.44099998860830114
0.03338898163605997,0.5546610381857114,0.44533896181428856
0.05175292153589339,0.5503772209784743,0.4496227790215257
