Energy (E),Reflectivity (R),Transmittance (T),Energy_tilde (Etilde)
-8.126878130217028,1.6935964247302528,-0.6935964247302528,5.464531012078197
-8.108514190317194,1.6938886497172414,-0.6938886497172414,5.482894951978031
-8.090150250417363,1.694173389872089,-0.694173389872089,5.501258891877862
-8.07178631051753,1.6944506559311883,-0.6944506559311883,5.519622831777696
-8.053422370617696,1.6947204576970827,-0.6947204576970827,5.537986771677529
-8.035058430717863,1.6949828040597408,-0.6949828040597408,5.5563507115773625
-8.01669449081803,1.6952377029938133,-0.6952377029938133,5.574714651477194
-7.9983305509181974,1.69548516155216,-0.69548516155216,5.593078591377028
-7.979966611018364,1.6957251857977047,-0.6957251857977047,5.611442531276861
-7.961602671118531,1.6959577803237136,-0.6959577803237136,5.629806471176694
-7.943238731218698,1.6961829450173205,-0.6961829450173205,5.648170411076527
-7.924874791318865,1.6964006486070837,-0.6964006486070837,5.66653435097636
-7.906510851419032,1.696610758579259,-0.6966107585792589,5.684898290876193
-7.888146911519199,1.696814967005935,-0.6968149670059349,5.703262230776026
-7.869782971619365,1.69700931794629,-0.69700931794629,5.72162617067586
-7.851419031719533,1.6971975344000443,-0.6971975344000443,5.739990110575692
-7.8330550918197,1.6973782318982107,-0.6973782318982107,5.758354050475525
-7.814691151919867,1.6975515049908063,-0.6975515049908063,5.776717990375358
-7.796327212020033,1.6977173651349555,-0.6977173651349555,5.795081930275192
-7.7779632721202,1.6978758128144813,-0.6978758128144813,5.813445870175025
-7.759599332220367,1.6980268462384343,-0.6980268462384343,5.831809810074858
-7.741235392320535,1.6981704625272156,-0.6981704625272156,5.85017374997469
-7.722871452420701,1.698306657892431,-0.6983066578924311,5.868537689874524
-7.704507512520868,1.6984354276585594,-0.6984354276585594,5.886901629774357
-7.6861435726210345,1.6985567662625998,-0.6985567662625998,5.9052655696741905
-7.667779632721202,1.6986706672321152,-0.6986706672321152,5.923629509574023
-7.6494156928213695,1.6987771230127733,-0.6987771230127733,5.9419934494738555
-7.631051752921536,1.6988761238797343,-0.6988761238797343,5.960357389373689
-7.612687813021703,1.6989676503494182,-0.6989676503494182,5.978721329273522
-7.59432387312187,1.699051608558612,-0.699051608558612,5.997085269173355
-7.575959933222037,1.6991285061760426,-0.6991285061760426,6.015449209073188
-7.557595993322204,1.6991972755728635,-0.6991972755728635,6.033813148973021
-7.539232053422371,1.6992589170492272,-0.6992589170492272,6.052177088872854
-7.520868113522537,1.6993130716950404,-0.6993130716950404,6.070541028772688
-7.502504173622705,1.6993596259004484,-0.6993596259004484,6.08890496867252
-7.484140233722872,1.6993986286458473,-0.6993986286458473,6.107268908572353
